,Nom,Annee,Genre_x,Developpeur,Date,Console,Note_Site,Nb_note_1,Nb_note_2,Nb_note_3,Nb_note_4,Nb_note5_,Nb_note_6,Nb_note_7,Nb_note_8,Nb_note_9,Nb_note_10,link,Moyenne des ventes estimé (en million),Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Grand Theft Auto V,2013,Action-Aventure,['Rockstar North'],2013-09-17,"['PlayStation 4', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'PC', 'PlayStation 5', 'Xbox Series X/S']",8.0,3000,1600,1800,2200,3800,5700,11200,18300,16100,19300,https://www.senscritique.com/jeuvideo/grand_theft_auto_v/467984,160.0,PS3,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
1,Grand Theft Auto V,2013,Action-Aventure,['Rockstar North'],2013-09-17,"['PlayStation 4', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'PC', 'PlayStation 5', 'Xbox Series X/S']",8.0,3000,1600,1800,2200,3800,5700,11200,18300,16100,19300,https://www.senscritique.com/jeuvideo/grand_theft_auto_v/467984,160.0,X360,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
2,Grand Theft Auto V,2013,Action-Aventure,['Rockstar North'],2013-09-17,"['PlayStation 4', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'PC', 'PlayStation 5', 'Xbox Series X/S']",8.0,3000,1600,1800,2200,3800,5700,11200,18300,16100,19300,https://www.senscritique.com/jeuvideo/grand_theft_auto_v/467984,160.0,PS4,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
3,Grand Theft Auto V,2013,Action-Aventure,['Rockstar North'],2013-09-17,"['PlayStation 4', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'PC', 'PlayStation 5', 'Xbox Series X/S']",8.0,3000,1600,1800,2200,3800,5700,11200,18300,16100,19300,https://www.senscritique.com/jeuvideo/grand_theft_auto_v/467984,160.0,XOne,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
4,Grand Theft Auto V,2013,Action-Aventure,['Rockstar North'],2013-09-17,"['PlayStation 4', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'PC', 'PlayStation 5', 'Xbox Series X/S']",8.0,3000,1600,1800,2200,3800,5700,11200,18300,16100,19300,https://www.senscritique.com/jeuvideo/grand_theft_auto_v/467984,160.0,PC,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
5,Grand Theft Auto IV,2008,Action-Aventure,['Rockstar North'],2008-04-29,"['PlayStation 3', 'Xbox 360', 'PC']",7.4,953,486,639,1000,2100,4200,8600,10000,5500,4800,https://www.senscritique.com/jeuvideo/grand_theft_auto_iv/331307,25.0,X360,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
6,Grand Theft Auto IV,2008,Action-Aventure,['Rockstar North'],2008-04-29,"['PlayStation 3', 'Xbox 360', 'PC']",7.4,953,486,639,1000,2100,4200,8600,10000,5500,4800,https://www.senscritique.com/jeuvideo/grand_theft_auto_iv/331307,25.0,PS3,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
7,Grand Theft Auto IV,2008,Action-Aventure,['Rockstar North'],2008-04-29,"['PlayStation 3', 'Xbox 360', 'PC']",7.4,953,486,639,1000,2100,4200,8600,10000,5500,4800,https://www.senscritique.com/jeuvideo/grand_theft_auto_iv/331307,25.0,PC,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
8,Grand Theft Auto: San Andreas,2004,Action-Aventure,['Rockstar North'],2004-10-29,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'Xbox', 'Xbox 360', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'Meta Quest 2']",8.0,379,204,282,360,781,1800,4700,9200,7300,5900,https://www.senscritique.com/jeuvideo/grand_theft_auto_san_andreas/99812,27.5,PS2,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
9,Grand Theft Auto: San Andreas,2004,Action-Aventure,['Rockstar North'],2004-10-29,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'Xbox', 'Xbox 360', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'Meta Quest 2']",8.0,379,204,282,360,781,1800,4700,9200,7300,5900,https://www.senscritique.com/jeuvideo/grand_theft_auto_san_andreas/99812,27.5,XB,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
10,Grand Theft Auto: San Andreas,2004,Action-Aventure,['Rockstar North'],2004-10-29,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'Xbox', 'Xbox 360', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'Meta Quest 2']",8.0,379,204,282,360,781,1800,4700,9200,7300,5900,https://www.senscritique.com/jeuvideo/grand_theft_auto_san_andreas/99812,27.5,PC,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
11,Grand Theft Auto: San Andreas,2004,Action-Aventure,['Rockstar North'],2004-10-29,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'Xbox', 'Xbox 360', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'Meta Quest 2']",8.0,379,204,282,360,781,1800,4700,9200,7300,5900,https://www.senscritique.com/jeuvideo/grand_theft_auto_san_andreas/99812,27.5,X360,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12
12,Grand Theft Auto: Vice City,2002,Action-Aventure,['Rockstar North'],2002-11-08,"['PlayStation 2', 'PC', 'Xbox', 'Mac', 'iPad', 'iPhone', 'Android', 'PlayStation 4']",7.8,361,171,230,310,766,1900,5400,7800,4600,3100,https://www.senscritique.com/jeuvideo/grand_theft_auto_vice_city/87896,20.0,PS2,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
13,Grand Theft Auto: Vice City,2002,Action-Aventure,['Rockstar North'],2002-11-08,"['PlayStation 2', 'PC', 'Xbox', 'Mac', 'iPad', 'iPhone', 'Android', 'PlayStation 4']",7.8,361,171,230,310,766,1900,5400,7800,4600,3100,https://www.senscritique.com/jeuvideo/grand_theft_auto_vice_city/87896,20.0,PC,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04
14,Grand Theft Auto III,2001,Action-Aventure,['DMA Design'],2001-10-26,"['PlayStation 2', 'PlayStation 4', 'Xbox', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'PlayStation 3']",7.4,34,30,73,140,454,1500,3900,3900,1600,684,https://www.senscritique.com/jeuvideo/grand_theft_auto_iii/120325,14.5,PS2,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
15,Grand Theft Auto III,2001,Action-Aventure,['DMA Design'],2001-10-26,"['PlayStation 2', 'PlayStation 4', 'Xbox', 'PC', 'Mac', 'iPhone', 'iPad', 'Android', 'PlayStation 3']",7.4,34,30,73,140,454,1500,3900,3900,1600,684,https://www.senscritique.com/jeuvideo/grand_theft_auto_iii/120325,14.5,PC,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01
16,Grand Theft Auto 2,1999,Action-Aventure,['DMA Design'],1999-10-22,"['PC', 'PlayStation', 'Dreamcast']",6.7,12,13,57,121,338,861,1300,685,256,127,https://www.senscritique.com/jeuvideo/grand_theft_auto_2/96756,3.42,PS,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42
17,Grand Theft Auto,1997,Action-Aventure,['DMA Design'],1997-10-01,"['PC', 'PlayStation', 'Game Boy Color', 'Game Boy Advance']",6.8,15,24,49,95,252,656,907,677,278,138,https://www.senscritique.com/jeuvideo/grand_theft_auto/161469,2.32,PS,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
18,Grand Theft Auto,1997,Action-Aventure,['DMA Design'],1997-10-01,"['PC', 'PlayStation', 'Game Boy Color', 'Game Boy Advance']",6.8,15,24,49,95,252,656,907,677,278,138,https://www.senscritique.com/jeuvideo/grand_theft_auto/161469,2.32,GBA,Take-Two Interactive,0.17,0.06,0.0,0.0,0.24
19,Grand Theft Auto: Chinatown Wars,2009,Action-Aventure,['Rockstar Leeds'],2009-03-20,"['Nintendo DS', 'PSP', 'Android', 'iPhone', 'iPad']",6.9,11,16,40,107,224,492,836,685,190,78,https://www.senscritique.com/jeuvideo/grand_theft_auto_chinatown_wars/108438,5.0,DS,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35
20,Grand Theft Auto: Chinatown Wars,2009,Action-Aventure,['Rockstar Leeds'],2009-03-20,"['Nintendo DS', 'PSP', 'Android', 'iPhone', 'iPad']",6.9,11,16,40,107,224,492,836,685,190,78,https://www.senscritique.com/jeuvideo/grand_theft_auto_chinatown_wars/108438,5.0,PSP,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08
